idtov	name
5D2	Лампа зерк. R63  75W E27  
8ZI	Машина углошлиф. ИНТЕРСКОЛ УШМ-115/0,9кW 115мм
8ZJ	ЯЯ ИНТЕРСКОЛ Машина углошлиф. УШМ-125 900W 125мм  
8ZB	Миксер ИНТЕРСКОЛ КМ-60/1000 Э 1050W	
8ZK	ИНТЕРСКОЛ Машина углошлиф. УШМ-150М 1,3кW 150мм	
8ZL	ЯЯ ИНТЕРСКОЛ Машина углошлиф. УШМ-1800М 1,8кW в фу
8ZM	ИНТЕРСКОЛ Машина углошлиф. УШМ-2300М 2,3кW в футл.
8ZN	ИНТЕРСКОЛ Машина шлифов. ленточн. ЛШМ-800 800W
8ZO	Машина плоскошлифовальная ИНТЕРСКОЛ ПШМ 104\220	
8ZP	ИНТЕРСКОЛ Лобзик МП-65Э 01 550W 65мм  
8ZQ	Лобзик ИНТЕРСКОЛ МП-100Э 700W 100мм	
5D3	Лампа цвет. C1 15W E14 желтая GE 22 810 
8ZR	Компрессор WC 25/50 WorkMaster  
8ZS	ЯЯ ИНТЕРСКОЛ Рубанок Р-110-01  100W 110мм	
8ZT	Пила дисковая ИНТЕРСКОЛ  ДП-800 800W диск 140мм	
8ZU	Пила дисковая ИНТЕРСКОЛ ДП-165/1200 1200W	
8ZV	Пила дисковая ИНТЕРСКОЛ ДП-190/1600М 1600W  
8ZW	Пила дисковая ИНТЕРСКОЛ ДП-1900 1900W 
8ZX	Пила цепная ИНТЕРСКОЛПЦ-16/2000Т-01 2000W ш 40см  
8ZY	ИНТЕРСКОЛ Отбойный молоток М-18 1250W кейс  
8ZZ	ЯЯ ИНТЕРСКОЛ Фен технический ФЭ-2000  2000W 
911	ЯЯ Станок комбинированный РКМ-325 
271	Шкаф ШРС 1-24  7*100
912	ЯЯ Станок токарный PMW-1018  JE10001000M
913	ЯЯ Станок фуговально-рейсмусовый РРТ-260
914	ЯЯ Станок осцилирующий шпиндельный POS-2
915	ЯЯ Щит освещения ОЩВ-15	
916	ЯЯ Стружкоотсос PDC-500 PERFORMAX 
917	ЯЯ Стол фрезерный PRT-1 PERFORMAX 
918	ЯЯ Станок токарный по дереву PWL-1440L
919	ЯЯ Штамп врубной HN-16N  JE754016 
91A	ЯЯ Станок листогибочный HB-1650N 1,5*1270	
91B	ЯЯ Стружкоотсос DC-650A JE708640M 
272	Шкаф ШРС 1-25 400А 4*63+4*100	
91C	ЯЯ Пылесос DC-1300 220V 90л 
91D	ЯЯ Станок заточный JSSG-10 с водяным  
91E	ЯЯ Станок для облицовки кромок JEB-1  
91F	ЯЯ Пила торцовая JMS-10S диск 254-30мм
91G	ЯЯ Станок ленточнопильный HVBS-712K 230V
91H	ЯЯ Пила ленточная HVBS-56M по металлу 
91I	ЯЯ Станок пазовальный настольный JBM-5
91J	ЯЯ Станок токарный BD-3 230V JE50000080M
91K	ЯЯ Станок сверлильный настольный JDP-15M
91L	ЯЯ Станок сверлильный JDP-17FM  
270	Шкаф ШРС 1-23 630А 10*63А 
91M	ЯЯ Станок сверлильный JMD-1 JE50000020M 
91N	ЯЯ Пила отрезная MCS-225M 220V  
91O	ЯЯ Станок радиально-сверлильный 230V JDR-34 
91P	ЯЯ Тележка для паллет PT-2036J  
91Q	ЯЯ Тележка для паллет PT-2048W  
91R	ЯЯ Тележка с подвижным столом SLT-660F
91S	ЯЯ Тележка с подвижным столом SLT-1650
91T	ЯЯ Станок токарный JWL-1236 CS JE708352M
91U	ЯЯ Станок токарный BD-920W
91V	ЯЯ Подставка нижняя JE321374
275	Шкаф ШРС 1-27 400А 5*100 +2*250 
91W	ЯЯ Станок фрезерный настольный JWS-34KX 
91X	ЯЯ Станок фуговальный 54A ширина 150мм
91Y	ЯЯ Станок рейсмусовый JPM-13 CSX 230V 
91Z	ЯЯ Пила циркулярная строительная JTS-315 S  
920	ЯЯ Расширение стола правое для JTS-315
921	ЯЯ Станок для шлифовки канатов EHVS-80 380V 
923	ЯЯ Тарельчато-ленчатый JSG-96	
924	ЯЯ Станок отбортовочный RM-22N JE754022 
925	ЯЯ Ножницы рычажные для металла SS-8  
926	ЯЯ Ножницы рычажные для металла SS-12 
277	уд.Шкаф ШРС 1-58 400А 2*63 +4*100 +2*250
927	ЯЯ Набор со слесарными монтажными 
928	Эл.двигатель  к вибратору ИВ-116А 
929	Эл.двигатель  0,55кW 1000об/м. АИР 71В6 лапы
92A	Эл.двигатель 11кW 3000об/м. АИР 132М2 комб. 
92B	Кнопка ABLFS 22 зеленый с подсвет.
92C	Кнопка ABLFS 22 красный с подсвет. ИЭК
92D	Кнопка ABLFS 22 синий с подсвет.
92E	CARMEN Розетка 2м  СП крем. TF+комп 90562035
92F	CARMEN Розетка 1м  СП крем. комп. 90562032 Vi-Ko  
92G	Св-к Duna/Dek  2  1/2stera какао/серебро
27H	Щиток ЩК-11П  
92H	ЯЯ Св-к Pigna/Dek 1 1/2stera матовый/серебро
92I	Св-к Duna/Dek  2  1/2stera какао/золото 
92J	Эл.двигатель  0,55кW 1000об/м. АИР 71В6 комб
92K	ЯЯ Насос F426S-41/38-1200FEP KALREZ	
92L	Провод ПЭТВ-2 d- 0,45мм	
92M	Лампа люм. труб. TLD 36W 17 зелен. ASD
